BEZEICHNUNG_OFFIZIELL;geopos
Eschenz;47.6454100038,8.87652994527
Disentis Betriebsgrz. MGB/RhB;46.7045100235,8.85352004918
42 IA Malcant Castelrotto;45.9925025891,8.83917358257
38 PU Bundi Disentis/Mustér;46.7052295905,8.85774204569
38 PU Bundi Mustér SB Disenti;46.7052295905,8.85774204569
Galleria Pianotondo;46.4256001583,8.85952766246
Disla Fehlerprofil;46.7108699675,8.87106995672
Gotthardbasistunnel Süd;46.4242168218,8.86437041364
Frauenfeld FW Bahn Gleisende;47.5578100116,8.89651005189
Frauenfeld Marktplatz;47.554199951,8.89870997528
Lüdem;47.5419400339,8.90234998462
Ponte Tresa;45.9699899862,8.86048001846
Giornico, Sassi Grossi;46.4038404676,8.87380152342
16 Garage Frauenfeld;47.5634049212,8.90908076855
Murkart;47.5377900285,8.91577997719
Caslano;45.9777399971,8.87629001487
Wald;47.2726799962,8.91398998594
Magliaso Paese;45.9834100082,8.8905799405
Bioggio;46.0121100436,8.90888999225
Cugnasco, Raiffeisen;46.1763149386,8.9172840717
Stabio (fine binario);45.8380000398,8.90924005757
Galleria base Gottardo porta s;46.3719051551,8.92615505875
Gaggiolo Confine;45.8385600346,8.91280999752
Rivera-Bironico;46.1239799629,8.92528006574
42 IA Ghezzi Rivera 3;46.1211633914,8.92530771243
Scuola elementare, Taverne;46.0628398065,8.92558424081
42 IA Barbengo;45.9643339758,8.92454338905
Mezzovico-Sigirino;46.0754899996,8.9284499736
Sigirino;46.0754899996,8.9284499736
Distributore Tamoil, Lamone;46.0415629453,8.93027290103
Hüttlingen-Mettendorf;47.5823400101,8.97452994802
Sorengo;46.0003899847,8.93483001497
Cureglia, Via Quadrèla;46.0326221887,8.94289778213
Lugano Nord;46.0102400359,8.94266007124
42 IA Trasporti Ticinese;46.1559718129,8.94719644535
Tankstelle AVIA Mühlrüti;47.3715665864,8.98354328178
Lugano-Paradiso;45.9889500305,8.94627998127
Biasca Ovest;46.3516864696,8.95882572729
34 Garage Reichenburg;47.1703947801,8.98548048853
Porza, Curvone;46.0323409766,8.95646637564
Galleria Paradiso;45.9854207729,8.95652887132
Stabio Cargo;45.8568098896,8.95570938989
Linthal (Gleisende);46.9226599858,8.99491002419
Galleria Maroggia;45.9415479275,8.96736976585
S. Antonino;46.1604399737,8.9739199884
Maroggia Galleria Nord;45.9417841246,8.97116785348
Berlingen;47.6732099622,9.02198996686
Benken;47.2044500206,9.00862995731
Umrichterwerk Mendrisio;45.8657686021,8.97311571545
Distributore IA Mendrisio;45.8694915113,8.97782636387
Wil West;47.4603800055,9.02596996329
36 PU PAUT Libingen;47.329253743,9.02292675925
Mendrisio S. Martino;45.8776500236,8.98303003766
42 IA Merzaghi Arogno;45.9584255463,8.98765906378
Wil Bergholz;47.4615385767,9.03241388392
Wil Güterbahnhof;47.4624299936,9.03437001042
Giubiasco Sud (bif);46.1720199888,9.0004399882
Wil;47.4624099514,9.04097997797
Giubiasco;46.1738199838,9.00357993784
Wil Matt (Abzw);47.4569099606,9.04490992714
Chiasso Smistamento (Df);45.8365207895,8.99907828655
Balerna per Smistamento (bif);45.8491700174,9.00001004952
42 IA Bellinzona B&A;46.1932673674,9.01429233249
42 IA Valle Muggio Balerna;45.8426020824,9.00848288626
Giubiasco, Scuole Medie;46.1802380264,9.01887659849
Allensbach;47.7152705429,9.06635015335
Monte Generoso;45.9281028524,9.01900489327
42 Parcheggio Bellinzona, FFS;46.1949351858,9.02810747889
Ziegelbrücke;47.1361500389,9.06004003487
Bazenheid;47.4101299742,9.06904001605
Nieder- und Oberurnen;47.1223600089,9.06237000216
Lütisburg;47.3838299804,9.07066996022
Chiasso Ovest (bif);45.8338099808,9.02695002868
Tankstelle BP Bütschwil;47.3630409103,9.07345034134
Bütschwil, Gemeindehaus;47.3567077793,9.0734282068
Näfels, Schnegg;47.0960276058,9.06740878645
Castione-Arbedo;46.2252500125,9.04139993173
Chiasso;45.8321799683,9.03144999936
Mollis, Sekundarschulhaus;47.0907864313,9.0728217194
Glarus;47.0399200057,9.07154992855
Tankstelle PU Niederer Ennend;47.0356293931,9.07448378437
Tankstelle PU Fontana Tavanas;46.7572323529,9.06977879903
Schwanden GL;46.9968500091,9.07744998066
Tankstelle BP Wattwil;47.2915344976,9.089655778
Chiasso Olimpino II;45.82977004,9.04771999368
Algetshausen-Henau;47.4485400295,9.1099200443
Weinfelden KVA Thurgau (Abzw);47.5582700404,9.12719005301
Tankstelle Landi Weinfelden;47.559972259,9.13215586597
Wali (Sezner);46.725888514,9.10714557751
Tankstelle PU Niederer Filzba;47.1211455254,9.1224384846
Brunnadern-Neckertal;47.3373100112,9.12987000956
Kartitscha (Stein);46.7364957217,9.11762912199
Bürglen;47.5491000003,9.14984997237
Kreuzlingen, Konstanzerstr.;47.6551913817,9.16865597761
Konstanz;47.6581000354,9.17700003578
Kreuzlingen Hafen;47.6491700099,9.18194997107
Degersheim;47.3724800291,9.20028006957
Münsterlingen-Scherzingen;47.6334299518,9.22699005024
36 PU PAUT Schönengrund;47.3277055913,9.21973142147
Tankstelle Garage Ilanz;46.7740359964,9.20431186849
Schachen (Herisau);47.3855599892,9.24350994047
Ramsen Schaltposten;47.3936092141,9.24633018674
Gossau SG AB Gleisende;47.4111900273,9.25065998073
Scansinas (Nagens);46.8524088072,9.2320564104
Tankstelle PU TPM Mesocco;46.389265711,9.2336662298
38 PU TPM SA Mesocco;46.389265711,9.2336662298
Tankstelle PU AOT;47.5521988445,9.27395693491
38 PU FLF Laax;46.8114727774,9.26252646913
Herisau Stellwerk SOB;47.3870009744,9.28248280469
38 PU Fontana Laax;46.8111755585,9.2629448224
Fil de Cassons;46.8781584234,9.26570641117
Güttingen;47.6087500314,9.29221993461
Waldstatt;47.3575146513,9.28610992275
Alp Naraus (Talstation);46.8599983342,9.26924793702
36 Garage Urnäsch;47.3183570931,9.28556961584
Tannenboden (Sesselbahn Chrüz);47.0923695077,9.2799554852
Zürchersmühle;47.3303299688,9.29258001665
Mols Bommersteintunnel;47.1135444165,9.28810378132
Versam-Safien;46.8073800177,9.3102999563
Jakobsbad;47.3200700361,9.32831998205
Muolen;47.5176200292,9.3370799815
Tankstelle AVIA Wildhaus;47.2008021341,9.33758716353
Lustmühle;47.4002399571,9.35920995615
Ruckhalde;47.4142243627,9.35982300735
38 PU Buchli Versam;46.79181522,9.33780434882
36 PU Heim Flums;47.0954083854,9.3542060665
St. Gallen AB;47.4220689131,9.36870752442
Neukirch-Egnach;47.5388000095,9.37583004108
Romanshorn GB;47.5617499922,9.37942002324
St. Gallen, Olmahalle 1;47.4337907976,9.3851930135
Wittenbach;47.4628499528,9.38853997882
Roggwil-Berg;47.4855899499,9.39201003534
St. Gallen St. Fiden;47.4345399601,9.3934299437
Mörschwil Ost;47.4317273894,9.39390684241
St. Gallen St. Fiden Nord;47.44242997,9.39802995385
St. Gallen Guggeien;47.451884079,9.39846770103
St. Gallen Notkersegg;47.4252281058,9.40403886132
Reggenschwil;47.4655896303,9.40568603727
Reggenschwil Steinachtobel;47.4666928044,9.40641675813
Appenzell;47.328289971,9.40883005614
Rhäzüns;46.7996799886,9.39926005303
Rank;47.4201600008,9.42380002003
Wasserauen Gleisende;47.2842499894,9.42735997738
Steinegg;47.3205599572,9.43040003629
Schützengarten;47.4127238569,9.43825396693
Steinach;47.5008599863,9.44212001462
Schwende;47.300020023,9.43561999043
Goldach MOAG (Agl);47.4720374976,9.44461714773
Rothenbrunnen;46.7678599765,9.41960995455
Ems Werk;46.8286400217,9.43038997116
38 Garage LRF Feldis/Veulden;46.7949211868,9.43118747662
38 PU Mark Andeer;46.6054483725,9.42711473113
Cazis;46.7198699614,9.43294000951
36 PU Gessinger Vättis;46.9089407672,9.44339621685
Tankstelle Kreuzgarage Eggers;47.3342032959,9.46289066721
Sargans Unterwerk;47.0399803415,9.45326205764
36 PU Schwizer Klosterstrasse;47.4759183277,9.47306340924
Rorschacherberg, Depot seebus;47.4685627882,9.48580378709
Sils im Domleschg;46.700280032,9.45860001055
Rietli;47.3607100198,9.48720003743
Felsberg Joos;46.8427003958,9.48190088075
Cugniel;46.6946664419,9.48089923071
Tankstelle Agrola Heiden;47.4370795262,9.53463847865
Chur West (Gleisende);46.8506100149,9.51646001939
Altstätten Stadt Gleisende;47.3773000096,9.53846999075
Chur GB;46.8513299626,9.52228998518
38 Extern PROTAX GmbH Chur;46.8541999777,9.52806156052
St. Gallen Winkeln West;46.9299031466,9.53417331589
Chur Altstadt;46.8474999666,9.5311600133
Chur Gleisende RhB;46.8583199955,9.53195001058
66 Extern PSA/FL;47.1140507799,9.54351122328
66 Garage Werkhof Mauren;47.2098508579,9.55046663414
Somtgant (Martegnas);46.5774533135,9.52978166979
Oberriet;47.3234800157,9.57137001747
Zizers Altlöser;46.938530031,9.55911997175
Nisellas (B);46.6690200262,9.55495004185
Rheineck [Gleis 0];47.4671151291,9.59081999528
Rheineck;47.466889965,9.59090004714
38 PU Ackermann Says;46.9061616118,9.58379522054
38 PU Reptrans AG Salouf;46.6163651797,9.58178712107
Wasserburg;47.5656609611,9.63021662101
38 Garage Tschiertschen;46.8193957095,9.60525908095
St. Margrethen Ost (Abzw);47.4519499729,9.64537997832
Hörnligrat (Schönboden);46.7665980637,9.62106671266
St. Margrethen Landesgrenze;47.4477699941,9.65797997751
Lindau Hbf;47.5447374959,9.68029943548
Alvaneu;46.6712499983,9.65073006514
Waschanlage Garage St. Moriz;46.3562321311,9.63847126555
Arosa (Mittelstation 2);46.7865202752,9.66310320862
38 Garage Peist;46.832721403,9.67359932772
Haspelgrube;46.7883900347,9.69680999078
Fuchsenwinkel;46.9436799801,9.70559995983
Litzirüti;46.7979500302,9.70326996993
Biberach (Riss);48.1018433425,9.79312522507
Küblis Ariesch;46.9153993466,9.76291637274
Maliera (B);46.5975499836,9.75798999709
Davos Glaris;46.7455700002,9.77992994204
Weissfluhjoch (Parsenn Sessel);46.8316588896,9.80512934221
Weissfluhjoch (Obersäss);46.8335876681,9.80542396886
Weissfluhjoch (Totalp);46.8337376025,9.80644029883
Weissfluhjoch (Parsennhütte);46.8339618408,9.80647639157
Saas im Prättigau;46.90764995,9.80994996807
Obersäss (Weissfluhjoch);46.8649633933,9.80915327052
Plateau Nair (Corviglia);46.5093278642,9.80733443948
Curtinella (Alp Surlej);46.4270322926,9.80742280667
Alp Surlej (Curtinella);46.4456029842,9.81109865213
Davos Hertistrasse Barriere;46.799550038,9.83407995486
Davos Schiabach Barriere;46.802059959,9.83768000292
Murtèl (Corvatsch);46.4320254888,9.8238202995
Ulm Hbf;48.3994413535,9.982229903
Selfranga Süd;46.8435699789,9.91060000075
Alp Nouva;46.4538300016,9.93622997881
Pischahorn (B);46.8212699768,9.95718004078
S-chanf Marathon;46.619760001,9.99698999999
Ospizio Bernina;46.4087599896,10.0197000336
38 PU Balzarolo Poschiavo;46.3227783527,10.0538787458
Pradei;46.3210028538,10.0559822647
Sasslatsch;46.7584799934,10.0860299792
Sagliains Abzw Sasslatschtunne;46.761989995,10.0864700068
Lavin, Scuola;46.7687372333,10.1111601082
Tankstelle Garage Guarda;46.7716205531,10.150708234
Campocologno;46.2332200457,10.1420600209
Jonvrai (Clünas);46.8228463252,10.2693411749
Planer Salaas (Idjoch);46.9698221885,10.3520448976
38 Garage Martina;46.8845794175,10.4637377995
38 Extern SAD Reschenpass;46.8466651572,10.5054541193
38 Extern SAD Mals, Bhf;46.6838940139,10.5483050676
Mulhouse-Ville 94;
SNL-magg (fiktiv);
Lausanne, Rovéréaz PAG;
Obereggenen, Abzw. Badenweiler;
Lörrach, Wallbrunnstrasse;
ECORT Testfiliale 2 Amadeus D;
Sélestat gare;
Thonon-les-Bains (FQ);
Casale Corte Cerro, cor. Roma;
Bochum Nord mobile Equipe;
LRE (fiktiv);
Riedlingen, Erlenboden;
Bern Bärenplatz;
Erbach Erlenbachstrasse;
Ghiffa, corso belvedere;
Kuoni GTS (Schweiz) AG;
Winterthur 98;
UNO Linie 480, km 23.70;
Nyon TPN;
Tunnel de Courchavon Nord;
Konstanz (Stadtlinien Bus) (D;
Efringen-Kirchen (FQ);
Crevoladossola, ponte crevola;
Blotzheim, Sénateur Brom;
Lugano 95;
Sutter Hinterzarten          O;
Village-Neuf, Centre (Mairie);
ELAZ ZB;
Ebringen (FQ);
Grenzach, Bürgelerweg (D);
Altstätten SG 95;
Siegen mobile Equipe;
Kreuzlingen 95;
Mainz-Bischofsheim mob Equipe;
Rho Fiera Milano (FQ);
Istein, Rathaus;
Luino 96;
Bus;
Steinen, Rathaus;
Canova del Vescovo;
Vevey 97;
Schopfheim, Marktpl./Rath.;
Rovegro;
Bahn MIB;
Münchenstein mobile Equipe;
City Zug                     O;
ZVV Verbund Notifikation;
Villeneuve VeVeY;
Friesenheim Rottstückerweg 2;
Laupen BLS;
BS DaX (fiktiv);
Bad Herrenalb Penny Markt;
Etzwilen 98;
Zürich Wiedikon TC-Raum 2;
Avry-s-Matran, centre com. PA;
BZ Ost Rückfallebene 3. Stock;
Yverdon TRAVYS-ysc;
Kemptthal Ost (Abzw);
Villadossola, centro;
Viggiona;
Renens VD 97;
Kennelbach;
Hamburg-Eidelstedt SA Lokber.;
Inntravel Ltd.;
Luzzogno;
Weilburg Spielmannstrasse;
Weinfelden 96;
Würges Ferrutisstrasse;
Caprezzo;
Zofingen 96;
Orbe TRAVYS;
Trans ContinentalSA Florissant;
Zürich Herdern DR;
Bern SBB.CH;
RVBW Webshop;
UNO Linie 255, km 8.3;
Crevogno (dira);
Lausanne, St-Etienne PAG;
Basel SBB 98;
Huningue, Tivoli;
Hamburg-Billwerder mob Equipe;
Wil SG, Stadtmarkt PAG;
Gümligen mobile Equipe;
Luino 98;
Cavandone;
UNO Linie 630, km 156.120;
Baveno, imbarcadero;
Rorschach 96;
Rorschach mobile Equipe G-SR;
Rail Tours Austria Wien;
Bietingen (D);
Hésingue, Ruisseau;
Huningue, Z.I. Sud;
RBM Reisebaumeister Zürich  BK;
Axen-Tunnel Sisikon (UR);
Nufenenpass             TCV;
Village-Neuf, Rue du Marché;
Mundenheim Hoheneckenstrasse;
Thunstetten Tunnel NBS;
Swiss Travel System AG       O;
Weitenau, Aussendorf;
Hollywood (FL);
Schaffhausen transit;
UNO Linie 320, km 23.72;
Falmenta, ponte Falmenta;
Biberbrugg 94;
Raich;
Melzo Scalo squadra mobile;
Ingolstadt mobile Equipe;
Romont TPF;
Utzenfeld;
St-Gervais-les-Bains/Fayet(FQ);
Oberdiessbach, Kastanienp. PA;
ECORT Testfiliale 3 Sabre D;
Uster 97;
Ornavasso, staz. ferroviaria;
Entringen Hauffstrasse;
Biel Mett (Df);
Sils/Segl Maria SBC;
Güttingen (D);
Neuweg, Chapelle;
De Luca Bern Sabre;
Bellegarde 96;
Bern KDZ RBS;
Hégenheim, Eglise;
Domodossola 98;
Basel SBB SA Lokwaschanlage P;
Moutier équipe mobile;
Düdingen Ost (Agl);
Brissago, via Mozzana;
Artex Kyiv;
Zürich Giesshübel mobile Equip;
Bern Mobile B2B Test 2;
Innsbruck Landesmuseum;
Rötteln;
Röthis;
Nok-Beznau (Abzw);
Brugg AG 96;
Lenzburg mobile Equipe;
Trans Continental Chêne-Bourg;
Köln Deutzerfeld mobile Equipe;
Grillons Crans-sur-Sierre    O;
Zürich Flughafen, Fracht PAG;
Solothurn 98;
Eclépens équipe mobile;
Giubiasco squadra mobile;
Kreuzlingen 94;
Aarau 1;
Tegernau, Hauptschule;
Zofingen mobile Equipe;
Innsbruck Triumphpforte;
Canegrate (FQ);
Biasca squadra mobile;
Schwarzenburg mobile Equipe;
Egringen, Abzweigung;
Zürich Herdern Serviceanlage;
Liestal mobile Equipe;
Emmendingen, Baumgartnerstr.;
Carlson Manno;
Pian di Nava;
Migiandone;
Romanshorn 98;
Wieden, Wiedenrütte;
Vaux sous-station (EOS);
Käfertal H.-Gutzmann-Schule 1;
Zürich Altstetten Zollhalle;
Hamburg HafenCity/Universität;
Stansstad 94;
Crusinallo, Agip;
Ferienverein Bern        BK  O;
Castiglione D'Ossola;
Erstfeld mobile Equipe;
Kira Reisen Baden        BK  O;
Berg SBB;
Bern T-Systems-TSI 2.3;
Allaman équipe mobile;
Intra, cimitero;
Häg, Tanne;
Brig SA Lokbereich(incl.Wagen);
Duisburg-Wedau mobile Equipe;
VBL Webshop;
Fahrnau, Ost;
Dulliken Gemeindeverwaltung;
Bern T-Systems-RL AVEC;
Parabiago (FQ);
Le Borgeau-sous-Carrouge;
Saignelégier, M. de Gruère CJ;
Brig Depot Ceres;
Lausanne Sous-marin;
Mundenheim Stifterstrasse;
Grenzach, Neufeld (D);
Ottenau, Bahnhof;
Comano, Rotonda ARL;
Montblesson, Centenaire PAG;
Italtours Bern Effingerstr OM;
Olten 95;
Bambergen (D);
Marin, Village PAG;
Les Cerlatez CJ;
Croveo;
Bad Bellingen;
Genève GR;
Aigle 98;
Kreuzlingen-Konstanz;
Thomas Cook Hoofddorp;
Villadossola, stabilim. Sisma;
Bretten Otto-Hahn-Strasse;
Stüsslingen BOGG;
Palézieux 94;
Genève 95;
Ausbildungszentren Travi     O;
Hégenheim, Rue de Buschwiller;
Brig CCP JVA-ESR;
Zürich Oerlikon Unterquerung;
Milano Centrale FS 94;
Schorndorf(Württ) W. Rathaus;
Schaffhausen Emmersbergtunnel;
Chur mobile Equipe Cargo;
Sargans 96;
Furka;
Philadelphia;
Küssnacht a.R., Hauptplatz ZV;
Villarepos, Fin de Plan (T);
Interlaken JB MCS B2P Prod;
Al-Tayer Dubai;
Bus BDWM;
Schaffhausen 94;
Le Locle 96;
Genève-Aéroport 97;
Glarus 95;
Efringen-Kirchen, Hauptstrass;
Romanshorn ZPG THURBO;
Reutlingen, Hauptbahnhof/Obf;
Rueyres-les-Prés, école PAG;
Spiez 96;
Bus TPC aomc;
Cossonay équipe mobile;
Sargans Dienstgebäude;
Riedmatt, Storchen;
Beura;
Zürich, Regio-Bus;
LKE DaX (fiktiv);
Privat Safaris Zürich       BK;
BZ OST Technischer Betrieb;
Canova;
Kuppenheim, Bahnhof;
Bus AFA;
Bern MCS WebService STC;
Zürich Wollishofen 95;
Tägerschen SBB;
Lüneburg mobile Equipe;
Sant'Agata;
Fluhmühle Zimmereggtunnel (LU);
ECORT Testfiliale 1 Amadeus D;
Spezial A;
Wil SG, Lindenhof WIMO;
Bürchau, Gemeindezentrum;
RBL SA Lokbereich;
Obervellmar Bürgerhaus;
Bern-TUP-BATS D;
UNO Linie 100, km 86.6;
Aarau mobile Equipe;
Cambiasca, piazza;
Schopfheim, Hebelstrasse;
Bahn MVR-cev;
Airolo 95;
Corcelles BE SBB;
Mannheim Grenadierstrasse 5;
Zürich Altstetten 95;
Bodio squadra mobile;
Steinen, Steinenbachbrücke;
Ste-Croix, Col-des-Etroits TY;
bta first travel Luzern;
Huningue, Domino;
Forbach, Bahnhof;
New York Pennsylvania (Penn);
UNO Linie 701, km 55.6;
Meggen Lärchenbühl Tunnel;
tpg mobile;
Sierre/Siders 94;
Sion 95;
Tegernau, Schwand, Abzweigung;
Guide to Zermatt;
Bahn ZB;
Glarus 96;
Rekingen AG 95;
Nebikon Süd;
UNO Linie 480, km 18.86;
Altstätten SG 97;
Hannover-Linden Hafen mob Equi;
Bad Reichenhall Kurgastzentrum;
Wieden, Hüttbach, Rütte;
Flörsheim mobile Equipe;
Recherswil Gemeinde;
Vereina                 TCV;
Locarno 98;
Schiff BLS-thS;
Neuchâtel MCS TN;
Aftersteg;
Biel/Bienne Depot Süd;
Locarno 96;
Formazza, fondvalle;
Hägelberg, Mittlere Dorfstass;
Hausen Ort, Tor-/Bergwerkstr.;
Zürich Wipkingertunnel Nord;
Tengen (D);
Bretten, Bahnhof;
Liesberg Tunnel Ostportal;
Stockmatt, Feriendorf;
Heiden AB;
Bern P-FI-CSA (Nacherf);
Basel Elsässertor;
Käfertal Luisenpark/Technoseum;
Bernried (See);
Buschwiller, Centre;
Haagen (Baden), Röttelnweiler;
Domodossola, v. Giovanni XXIII;
Prata;
Oberwinterthur Ent-/Versorgung;
Hofen, Im Steinenberg;
Brunnen (Df);
Bern P-FV-DV Verteilschlüssel;
St. Gallen 94;
Huningue, Poste;
Bahn THURBO;
Oberriet Industrie;
Samstagern 97;
Hamburg Hauptbahnhof Nord (U);
Kaiserstuhl OW ZB;
Sunstar Hotels Liestal       O;
Inzlingen;
Kassel Hbf Bombardier;
Wünnewil, Schule TPF;
Possenhofen (See);
bta first travel Arbon;
Niederrotweil, Kirche;
Bellinzona 96;
Milano Rogoredo squadra mobile;
Lathion Sion                 O;
Bern T-Systems-TSI 1.7;
IBTS Cham                    O;
Bülach 94;
Fallien (B);
Zermatt APP;
Baumeler Luzern              O;
UNO Linie 600, km 40.445;
Lörrach, Burghof;
Gossau SG Unterwerk (SAK);
Lyss, Mühleplatz RBS;
Baveno, staz. ferroviaria;
ECORT Testfiliale 4 Galileo D;
Obereggenen, WG;
Sarnen ZB;
Limite coordonnées VD;
Brandenberg, Wiesenstrasse;
Interlaken West mobile Equipe;
ECORT Test Galileo           O;
Fröhnd, Wühre;
Innsbruck Maria-Theresien-Str.;
Steinen, Schule;
Grüenau (B);
Druogno, staz. ferroviaria;
Weil (Rhein), Stettiner Str;
La Chaux-d-F. MCS TRN/Autorvt.;
Le Bémont JU, village PAG;
Rosenau, Les Biches;
UNO Linie 470, km 37.59;
Bus AAGL;
Spiez, Oberlandstrasse STI;
Leggistein-Tunnel Wassen (UR);
Bus FART;
Switzerland Travel Zürich 2;
Palézieux équipe mobile;
De Luca Bern                 O;
Bern IT-PD, Test-D EPR;
Langnau 97;
Waldshut DB 98;
Gernsbach, Bahnhof;
Ferno-Lonate Pozzolo (FQ);
Block 47 (B);
Brüttisellen (B);
TUI (Suisse) Zürich          O;
Bern Tourismus;
Blotzheim, Rue de la Gare;
Bad Griesbach, Bahnhof;
Bankholzen (D);
Tutzing (See);
Saint-Louis, Rhin;
St-Maurice 96;
St-Prex équipe mobile;
Kemptthal West (Abzw);
Schaffhausen 98;
Ungiasca;
Grand-St-Bernard (col)  TCV;
Würzburg mobile Equipe;
Vaux (B);
Bern MCS SAP öV-Karte Test;
Besnate (FQ);
Mahlspüren im Tal (D);
Bad Rotenfels Schloss Gaggenau;
St-Maurice 98;
Schwand;
Hamburg-Rothenburgs mob Equipe;
Zürich RPZ;
You Travel Helsinki          O;
Neuweg, Rousserolles;
Bern-Adi-TUP-6-D;
Oberwinterthur (Df);
Tumringen, Oberb.Bettfedernfa;
Kloten, Freienberg PAG;
Rail 1 Bruxelles             O;
Alpine Classics Kastanienbaum;
Rheinweiler Ort;
Passo;
Hörbranz;
Hemmenhofen (D);
Lenzburg 95;
Lochau;
Degerfelden, Sägemühle;
Ludwigshafen Pfalzbau 1;
Riedlingen, Milchhaus;
Herman Travel Tallinn        O;
Bahn BLS-bn;
Basel St. Johann mobile Equipe;
MagicTicket.ch;
ECORT Test 6 Galileo I;
St-Maurice 95;
Swiss Skicompany Potters Bar;
Grandval SBB;
Casale Corte Cerro, v. Marconi;
Zollikofen Taskf-Zentrum P2001;
SBB B2B AVS;
Schönfliess (OHV) Kirche;
Geschwend (Baden), Schule;
Bern B2P Webservice Test 2;
Rüsler (B);
Bus TPF;
Basel Bad Bf BW (DB);
Furkapass               TCV;
Beinwil am See 97;
Zoverallo;
ELAZ SOB;
Malesco, staz. ferroviaria;
Bus SVB/kmb;
Bad Reichenhall Bürgerbräu;
Bern 96;
Bern GR;
Sulz-Röthis;
Luzern RailAway;
Brugg AG 98;
Zürich Hagenholz KVA;
Serac Travel GmbH, c/o Tui Ski;
Rapperswil 97;
Vevey 98;
Schopfheim, Wehratalsäge;
Stein-Säckingen mobile Equipe;
UNO Linie 441, km 13.3;
Grossdietwil, Post ASm;
Karlsruhe Frankenthalerstrasse;
Sion RCP;
Münsingen o Belp;
Ludwigshafen BASF (Tor 5);
Neuweg, Parc des Maréchaux;
Vignone;
Pougny-Chancy;
SBB DAS;
Herisau, Langelen VBH;
Münster Johannes-Lang-Strasse;
Steg VS, Kirche PAG;
Domodossola 94;
Marzell, Fachklinik Kandertal;
Schopfheim, Landstrasse/Talst;
Versoix Cabine Sunrise (TDC);
Fröhnd;
Steckenheim Rathaus 1;
Nava (I);
Meiringen 98;
Soleans Travel Genève;
Machilly;
Efringen-Kirchen, Kopfrain;
Megolo Mezzo;
Wynau Post;
Amexco Zürich                O;
Zermatt Rail Travel Brig;
Maulburg, Volksbank;
Kerzers, Mühlegasse TPF;
Selgetsweiler (D);
Chez-le-Maître-Ecoles TRAVYS;
Dombach Ortsmitte;
Huttwil 98;
Köln mobile Equipe;
Basel SBB 96;
Koblenz-Dorf-Ost;
Thun 96;
Rheinfelden (D),Haberbusch;
Frankfurt, Ent-/Versorgung;
Bahn TMR-mc;
RBL Ortsgüteranlage;
Neuchâtel ZPG BLS;
Grenchen Süd mobile Equipe;
Romanshorn mobile Equipe;
Winterthur alle Ziele Zone 12;
Heidelberg Gaisbergstrasse;
Stansstad 96;
Giessen mobile Equipe;
IBTS Cham;
rts/fts Zollikofen B;
Brescia Scalo squadra mobile;
Montreux-Voyages Montreux    O;
Haagen (Baden);
Blotzheim, Place Coluche;
Piancassone;
Niederselters Emsstrasse;
Biel/Bienne mobile Equipe;
Brugg AG mobile Equipe;
Mauenheim, Abzw. (D);
Hésingue, Ecole Mairie;
Tunnel de Taubenloch 3 et 4;
Interlaken Ost ZPG BLS;
Bad Camberg Ärtzehaus;
Bern P-VS-POS Leitstelle;
Samstagern 96;
Aarau RPZ;
Adelsberg;
St-Maurice équipe mobile;
Incrocio, via Mazzini;
Le Brassus 98;
Mühlethal Kabine FL;
Novi San Bovo squadra mobile;
Luzern Stadttunnel (LU);
VBL PTTS;
Brandenberg, Siedlung;
Fröhnd, Unterkastel;
Omegna, lungo lago buozzi;
Bad Bellingen (FQ);
Bellinzona 97;
Bern F-SSO;
Peseux, temple TRN;
Waidhof;
ELAZ RhB;
Zürich Tourismus;
Luzern Geschäftss. Passepart.;
Oron-le-Châtel, La ChavanneTP;
Laubach (B);
DCS - Commerce-Server;
Schmitten FR, Dorf PAG;
Yverdon AIT K+S;
Rorschach mobile Equipe;
Monthey 98;
Brunnen 95;
Resarail SBB (d);
München Hbf Nord II;
Bs Kleinh. Hafen mob. Equipe;
Airport Ticketing Dublin     O;
Omegna, Madonna del popolo;
Les Granges (Orbe) TRAVYS;
Meyrin;46.2223499718,6.07689995577
Luzern Unterhaltszentrum;
ELAZ RhB Landquart;
Schaan-Vaduz;
BZ Ost Betrano 4. Stock;
Interlaken Ost 95;
Korntal, Bahnhof;
Soubey, restaurant Relais PAG;
Radolfzell (D);
Chandossel;
Zürich HB ZVV;
BZ OST Voralpen;
Fribourg 94;
Dettenberg Tunnel Ost;
Eichsel, Obereichsel;
Konolfingen BLS;
Bern Webshop B2B;
TSW Travel Moscow            O;
Zürich Flughafen Finger Dock A;
Effretikon 98;
Utzenfeld, Reiterhof;
Bad Rotenfels,Bahnhof/Rotherma;
Buchs-Dällikon mobile Equipe;
HRG Basel Grenzacherstrasse;
Porto Valtravaglia;
Arbon Ost;
Basel Bad Bf 94;
Vernier;46.2207299752,6.09388000928
Brugg AG SA-Gebäude;
Milano Greco Pirelli (FQ);
St.Margrethen SG,Rheinpark PA;
Bellegarde 98;
HRG Urdorf;
Kuoni Basel Wurmisweg BTI;
Bödele;
Uster 95;
Bern Wylerfeld 96;
Sargans mobile Equipe;
Intra, rimessa S.Luigi;
RailAway Incoming Luzern     O;
Meyrin (encl.);46.2171243989,6.10260150707
Schopfheim, Bismarckstrasse;
Kandern, Möbelfabrik, Vollmer;
Lugano POST;
Boston Back Bay;
